test_number,world_size,batch_size,duration_seconds,memory_mb,cost_usd,status,execution_name,throughput_rps
1,1,8,6.11,128,0.00028733,SUCCEEDED,perf-test-1-1753127926,1.31
2,1,16,5.1,128,0.00028114,SUCCEEDED,perf-test-2-1753127932,3.14
3,1,32,5.1,128,0.00028117,SUCCEEDED,perf-test-3-1753127937,6.27
4,1,64,5.1,128,0.00028114,SUCCEEDED,perf-test-4-1753127942,12.55
5,1,128,5.11,128,0.00028119,SUCCEEDED,perf-test-5-1753127948,25.06
6,2,8,5.13,128,0.00031261,SUCCEEDED,perf-test-6-1753127953,3.12
7,2,16,5.11,128,0.00031236,SUCCEEDED,perf-test-7-1753127958,6.27
8,2,32,5.1,128,0.00031234,SUCCEEDED,perf-test-8-1753127963,12.54
9,2,64,5.1,128,0.00031229,SUCCEEDED,perf-test-9-1753127968,25.1
10,2,128,5.1,128,0.00031232,SUCCEEDED,perf-test-10-1753127973,50.17
11,3,8,8.17,128,0.00039966,SUCCEEDED,perf-test-11-1753127979,2.94
12,3,16,6.12,128,0.00036207,SUCCEEDED,perf-test-12-1753127987,7.85
13,3,32,6.11,128,0.00036198,SUCCEEDED,perf-test-13-1753127993,15.71
14,3,64,6.11,128,0.00036202,SUCCEEDED,perf-test-14-1753127999,31.4
15,3,128,6.17,128,0.00036309,SUCCEEDED,perf-test-15-1753128005,62.21
16,4,8,10.21,128,0.00049936,SUCCEEDED,perf-test-16-1753128012,3.13
17,4,16,7.13,128,0.0004242,SUCCEEDED,perf-test-17-1753128022,8.97
18,4,32,6.13,128,0.00039965,SUCCEEDED,perf-test-18-1753128029,20.89
19,4,64,7.12,128,0.00042402,SUCCEEDED,perf-test-19-1753128035,35.93
20,4,128,7.17,128,0.00042512,SUCCEEDED,perf-test-20-1753128042,71.42
